name,scientific_name,genus_species_variety,genus_species_original,description,image_url,producttilelink_URL,light_level,amount_light,water_needs,bloom_time,bloom_seasons,type,Text3,Text4,soil_type,Text5,height_text,height_num,Height,Text6,Text7,Text8,width,temperature,humidity,Text9,care_instructions,common_issues,grow_zones,grow_zones_text,Text12,Text13
"Stonecrop, Phedimus",Sedum Atlantis™,Sedum takesimense 'Atlantis™',"
      Sedum takesimense 'Atlantis™' 
      (PP27,454 'Nonsitnal')
      
    ","This showstopper integrates the pizzazz of both color and texture! Tight fleshy rosettes of notched leaves flaunt wide, creamy-yellow borders framing dollops of emerald green. Starry-yellow flower clusters are held just above the foliage in summer. Margins may blush with pink tones with colder temps in late fall. Sedum Atlantis is a low-growing, clumping succulent perfect for tucking into rock gardens. With its variegated foliage, this Stonecrop is fabulous in a combination container with other succulents. For hotter zones, this variety prefers morning sun or dappled shade.",https://www.bluestoneperennials.com/img/SEAT/300/SEAT-0-Sedum-Atlantis2-wg.jpg.webp,https://www.bluestoneperennials.com/SEAT,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Mid-Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Mid-Summer to Early Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"4-6""","Short 4-6""","
              Short 4-6"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","10-12""",,,"
              Plant 10-12"" apart
            ",Prefers full sun with average to poor well-drained soil. Can be divided every 2-3 years in spring. Stems pull off easily and will root readily for transplanting. Winter damaged foliage can be cut back in early spring for a flush of new growth.,,"4,5,6,7,8,9",4-9,"
    Prefers full sun with average to poor well-drained soil. Can be divided every 2-3 years in spring. Stems pull off easily and will root readily for transplanting. Winter damaged foliage can be cut back in early spring for a flush of new growth.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Meadow Sage,Salvia Midnight Model,Salvia pratensis 'Midnight Model',"
      Salvia pratensis 'Midnight Model' 
      (PP29,498)
      
    ","This Midnight Model will energize your garden with big, electrified vibrant blue flower spikes above a dense mound of lush foliage. Extras include its appeal to butterflies and hummingbirds. The chic and stylish color of Salvia Midnight Model from the Fashionista™ Collection represents the cutting edge of ‘perennial fashion’ thanks to hybridizing from Walters Gardens. Meadow Sage is a tried-and-true perennial great for novice gardeners. Perfect for dried or cut flower arrangements. Performs best in full sun.",https://www.bluestoneperennials.com/img/SAMM/300/SAMM_0_Salvia_Midnight_Model3_wg.jpg.webp,https://www.bluestoneperennials.com/SAMM,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Late Spring to Early Summer,"spring,summer",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Normal, Sandy, Clay","
              
               Normal, Sandy, Clay
            ",Medium,"22-24""","Medium 22-24""","
              Medium 22-24"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","20""",,,"
              Plant 20"" apart
            ","Prefers moist but well-drained soil. Can be divided every 3 - 5 years in early spring. After blooming, cut down to basal growth, as new growth will be more appealing. May flop if given too rich soil or excessive shade. Blooms more profusely with regular watering. Dislikes a spot that is damp over the winter.",,"3,4,5,6,7,8",3-8,"
    Prefers moist but well-drained soil. Can be divided every 3 - 5 years in early spring. After blooming, cut down to basal growth, as new growth will be more appealing. May flop if given too rich soil or excessive shade. Blooms more profusely with regular watering. Dislikes a spot that is damp over the winter.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Meadow Sage,Salvia Marcus,Salvia nemorosa 'Marcus',"
      Salvia nemorosa 'Marcus' 
      (PP13,322)
      
    ","A short Salvia May Night - deep rich dark purple-blue color, outstanding compact habit with an incredible bloom time (June to October). Cut back after first bloom for fresh appearance. Excellent in the front of the border or in a container.",https://www.bluestoneperennials.com/img/SAMA/300/SAMA_0_Salvia_Marcus.jpg.webp,https://www.bluestoneperennials.com/SAMA,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ","Normal, Sandy, Clay","
              
               Normal, Sandy, Clay
            ",Short,"12""","Short 12""","
              Short 12"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","16""",,,"
              Plant 16"" apart
            ","Prefers moist but well-drained soil. Can be divided every 3 - 5 years in early spring. After blooming, cut down to basal growth, as new growth will be more appealing. May flop if given too rich soil or excessive shade. Blooms more profusely with regular watering. Dislikes a spot that is damp over the winter.",,"4,5,6,7,8",4-8,"
    Prefers moist but well-drained soil. Can be divided every 3 - 5 years in early spring. After blooming, cut down to basal growth, as new growth will be more appealing. May flop if given too rich soil or excessive shade. Blooms more profusely with regular watering. Dislikes a spot that is damp over the winter.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Hyssop, Hummingbird Mint",Agastache Kudos™ Red,Agastache 'Kudos™ Red',"
      Agastache  'Kudos™ Red' 
      (PP30,375)
      
    ","Glowing red-orange trumpets climb branching stems to form lush spires above the fragrant foliage. Hummingbirds and butterflies pay tribute to this beauty with daily visits to the nectar-laden blossoms. Long blooming and compact! From the Kudos™ Series, Agastache Kudos™ Red is an appealing perennial for summer through fall color in a sun-loving garden.",https://www.bluestoneperennials.com/img/AGKR/300/AGKR-0-Agastache-Kudos-Red1-tn.jpg.webp,https://www.bluestoneperennials.com/AGKR,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ",Normal,"
              
               Normal
            ",Medium,"20""","Medium 20""","
              Medium 20"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","24""",,,"
              Plant 24"" apart
            ","Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.",,"6,7,8,9,10",6-10,"
    Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
      "
,Clematis Lindsay™,Clematis 'Lindsay™',"
      Clematis  'Lindsay™' 
      (EviGsy (PBR))
      
    ","The satiny purple-blue, 6-7” flowers of Clematis Lindsay are punctuated with sea-urchin-like, burgundy-red tipped anthers. The star-like single flowers appear in June and July and repeat flowering occurs in late August. Clematis vines supply vertical interest, and the swirled fluffy seeds add later season texture.",https://www.bluestoneperennials.com/img/CLLI/300/CLLI-0-Clematis-Lindsay-don.jpg.webp,https://www.bluestoneperennials.com/CLLI,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Summer,summer,"Perennials,
 
 Vines","
                
                  Perennials,
                
                  Vines
                
              ","
              

            

              
            

              
            
                Early Summer to Mid-Summer
            ",Normal,"
              
               Normal
            ",Tall,6-8',Tall 6-8',"
              Tall 6-8' 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ",4',,,"
              Plant 4' apart
            ","Pruning Type 3. Clematis have some personality quirks. They are one of the few plants that like to be planted deeper. Pick a full sun site and have your trellis in place. Have a deep hole dug – 8-10"" – with some compost in the bottom. Gently place the pot (minus the wrapper) into the hole so that the first set of leaf nodes (the bud where the leaf sprouts from) is below ground. Remove any leaves that will be under the soil. Fill the hole halfway and tie the top growth to your trellis (leave the stick it shipped with in place for now) and water. Finish filling the hole with good soil, and water well. Your Clematis will appreciate a low growing plant at its feet to shade its roots. TYPE 3: This group blooms later and on new growth. Prune in early spring as new leaf buds begin to show. Remove any dead brittle material above these buds. Stems can be trimmed low if desired at this time to encourage branching. If intertwining Clematis, pruning will be easier if you select varieties with the same pruning type. Want to sort by pruning type? In the main search box, type Type 1, Type 2 or Type 3 to group them together.",,"4,5,6,7,8,9,10",4-10,"
    Pruning Type 3. Clematis have some personality quirks. They are one of the few plants that like to be planted deeper. Pick a full sun site and have your trellis in place. Have a deep hole dug – 8-10"" – with some compost in the bottom. Gently place the pot (minus the wrapper) into the hole so that the first set of leaf nodes (the bud where the leaf sprouts from) is below ground. Remove any leaves that will be under the soil. Fill the hole halfway and tie the top growth to your trellis (leave the stick it shipped with in place for now) and water. Finish filling the hole with good soil, and water well. Your Clematis will appreciate a low growing plant at its feet to shade its roots. TYPE 3: This group blooms later and on new growth. Prune in early spring as new leaf buds begin to show. Remove any dead brittle material above these buds. Stems can be trimmed low if desired at this time to encourage branching. If intertwining Clematis, pruning will be easier if you select varieties with the same pruning type. Want to sort by pruning type? In the main search box, type Type 1, Type 2 or Type 3 to group them together.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            OK in Containers
          
      "
"Funkia, Plantain Lily",Hosta Wu-La-La,Hosta 'Wu-La-La',"
      Hosta  'Wu-La-La' 
      (PP#31,309)
      
    ","Heavily corrugated blue-green foliage is edged with creamy guacamole-green. Its texture, size, and color provide powerful impact that commands attention. It will take about 5 years to reach maturity, but it is so worth the wait! The substantial foliage can be used to create hypertufa containers or make impressive leaf castings for garden bird baths. Their large leaves provide excellent coverage for dying bulb foliage. The lavender spiky flowers of Hosta Wu-La-La from the Shadowland® Series are filled with nectar loved by hummingbirds.",https://www.bluestoneperennials.com/img/HOWL/300/HOWL-0-Hosta-Wu-La-La3-wg.jpg.webp,https://www.bluestoneperennials.com/HOWL,"Mostly Sun, Half Sun / Half Shade, Mostly Shade",Mostly Sunny to Mostly Shady,,Early Summer to Mid-Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Early Summer to Mid-Summer
            ","Normal, Acidic","
              
               Normal, Acidic
            ",Tall,3-4',Tall 3-4' (4' in flower),"
              Tall 3-4' (4' in flower)
            ","
              
            

              
            

              
            

              
            
            Mostly Sunny to Mostly Shady
            ","
              Plantable Pots (3.5x3.5x4"")
            ",5-6',,,"
              Plant 5-6' apart
            ",Hosta are generally carefree. Remove the spent flower stalks if seeding is not wanted. (Not all varieties will seed.) Be aware that seedlings are rarely true to the parent plant. Unwanted or damaged leaves can be clipped off at the base at any time. The entire plant will die back for the winter and spent foliage can usually be raked or clipped off easily in late fall or early spring. Can be divided in spring or fall every 3-5 years if desired.,,"3,4,5,6,7,8,9",3-9,"
    Hosta are generally carefree. Remove the spent flower stalks if seeding is not wanted. (Not all varieties will seed.) Be aware that seedlings are rarely true to the parent plant. Unwanted or damaged leaves can be clipped off at the base at any time. The entire plant will die back for the winter and spent foliage can usually be raked or clipped off easily in late fall or early spring. Can be divided in spring or fall every 3-5 years if desired.
    ","
        
          
            
          
          Attracts Hummingbirds
        
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
"Pinks, Carnations",Dianthus Watermelon Ice,Dianthus 'Watermelon Ice',"
      Dianthus  'Watermelon Ice' 
      (PP33,901)
      
    ","Bright watermelon-pink petals are brushed with just a hint of frosty white on fringed tips. Large fragrant flowers with continuous flowering from late spring through fall, the EverBloom™ Series is aptly named! Dianthus have ageless appeal, delightful in mixed borders, cutting, and butterfly gardens. The EverBloom™ Series of Dianthus are densely branched with strong, short flower stems and bold color. A rock garden favorite, slow-spreading edger or front-of-the-border charmer, it completes its must-have status with its alluring fragrance. Who can resist Dianthus? The more the flowers are cut, the more they bloom. Blossoms sparkle against compact silver-blue-green foliage.",https://www.bluestoneperennials.com/img/DIEW/300/DIEW-0-Dianthus-Everbloom-Watermelon-Ice-gl.jpg.webp,https://www.bluestoneperennials.com/DIEW,Full Sun,Full Sun,,Late Spring to Mid-Fall,"spring,summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            

              
            
                Late Spring to Mid-Fall
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Short,"6-8""","Short 6-8""","
              Short 6-8"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ","15-18""",,,"
              Plant 15-18"" apart
            ","Shear off old flowering stems and approximately 1/3 of the foliage after blooming. Foliage will quickly recover and look nice, even into winter. Prefers loose and sandy alkaline soils. Can be divided in spring every 2-3 years.",,"4,5,6,7,8,9",4-9,"
    Shear off old flowering stems and approximately 1/3 of the foliage after blooming. Foliage will quickly recover and look nice, even into winter. Prefers loose and sandy alkaline soils. Can be divided in spring every 2-3 years.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Evergreen
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
      "
Speedwell,Veronica Crater Lake Blue,#VALUE!,"
      Veronica austriaca 'Crater Lake Blue' 
    ","Foliage disappears under dramatic, vivid blue flowers of exceptional color in late spring. Upright stems hold the saucer-shaped flowers of this Veronica. It is a carefree tidy plant with toothed, dark green, lance-shaped foliage that looks good all season. Veronica makes a spectacular sea of vivid blue when planted en masse.",https://www.bluestoneperennials.com/img/VECR/300/VECR_0a_veronica_crater_lake_blue1_.jpg.webp,https://www.bluestoneperennials.com/VECR,"Full Sun, Mostly Sun, Half Sun / Half Shade",Full Sun to Half Sun / Half Shade,,Mid-Spring to Late Spring,spring,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Spring to Late Spring
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Medium,"18""","Medium 18""","
              Medium 18"" 
            ","
              
            

              
            

              
            

              
            
            Full Sun to Half Sun / Half Shade
            ","

              Medium
            ","14""",,,"
              Plant 14"" apart
            ","Prefers evenly moist soil with good winter drainage. Can be divided every 3 years in spring or fall. To keep tidy plants, shear back by 1/2 after flowering. If not cut back in summer, prune down to basal growth in late autumn.",,"4,5,6,7,8",4-8,"
    Prefers evenly moist soil with good winter drainage. Can be divided every 3 years in spring or fall. To keep tidy plants, shear back by 1/2 after flowering. If not cut back in summer, prune down to basal growth in late autumn.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
          
            
              
            
            Shade Tolerant
          
      "
"Wormwood, Dusty Miller, Ghost Plant",Artemisia Silver Mound,#VALUE!,"
      Artemisia schmidtiana 'Silver Mound' 
    ","Bright silver, lacy-mounded foliage is great for edging. Artemisia are prized for their silver leaves and excellent texture. Artemisia Silver Mound is one of the most popular silver foliage plants. Perfect near a meandering path or in front of the border where its fine texture can be enjoyed.",https://www.bluestoneperennials.com/img/ARSM/300/ARSM_0_Artemisia_Silver_Mound.jpg.webp,https://www.bluestoneperennials.com/ARSM,Full Sun,Full Sun,,Not Applicable,,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            
                Not Applicable
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"10-14""","Short 10-14""","
              Short 10-14"" 
            ","
              
            

              
            
            Full Sun
            ","

              Low
            ","16""",,,"
              Plant 16"" apart
            ","Fast growing. Can be sheared by half during the summer if needed (especially if it starts to open up) - new foliage will flush out quickly. Prune back to 5-6"" in early spring or late fall for clean up.",,"4,5,6,7,8",4-8,"
    Fast growing. Can be sheared by half during the summer if needed (especially if it starts to open up) - new foliage will flush out quickly. Prune back to 5-6"" in early spring or late fall for clean up.
    ","
        
          
            
          
          Deer Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
      "
Ornamental Oregano,Origanum Kent Beauty,#VALUE!,"
      Origanum  'Kent Beauty' 
    ","Rosy bracts make pendulous flowers resembling Hops. Prized as dried flowers. Origanum Kent Beauty is tolerant of full sun with lush silvery foliage that remains attractive all summer. Long blooming, the foliage has a spicy aromatic scent.",https://www.bluestoneperennials.com/img/ORKB/300/ORKB_0_Origanum_Kent-Beauty.jpg.webp,https://www.bluestoneperennials.com/ORKB,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ","Normal, Clay","
              
               Normal, Clay
            ",Short,"8""","Short 8""","
              Short 8"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Medium
            ","10""",,,"
              Plant 10"" apart
            ","This low-maintenance plant prefers average, dryish soil with good winter drainage. Can be divided every 3 - 4 years in the spring. Trim off old stems in spring when new growth appears. Benefits from gravel mulch. Snip off old blooms to extend flowering period. Not good for cooking but flowers are attractive when dried.",,"5,6,7,8,9",5-9,"
    This low-maintenance plant prefers average, dryish soil with good winter drainage. Can be divided every 3 - 4 years in the spring. Trim off old stems in spring when new growth appears. Benefits from gravel mulch. Snip off old blooms to extend flowering period. Not good for cooking but flowers are attractive when dried.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            OK in Containers
          
      "
